;year;dr;dD;D;Drelativa;dG;G;Grelativa
1947;72;1.89;3.79;632.18;0.006;11.265;53.543.858;0.0021
3308;47;3.74;7.48;187.7;0.0398;439.235;6.871.623;0.0639
1342;22;1.88;3.75;132.86;0.0283;110.696;7.097.889;0.0156
2687;27;2.22;4.44;202.48;0.0219;154.646;14.643.104;0.0106
1808;89;2.63;5.26;675.58;0.0078;216.984;48.815.767;0.0044
2075;44;3.35;6.71;248.08;0.027;353.293;14.144.122;0.025
2051;20;3.05;6.1;68.1;0.0895;291.978;2.276.387;0.1283
2570;10;4.59;9.18;140.81;0.0652;661.571;19.488.188;0.0339
350;20;2.68;5.36;92.05;0.0582;225.639;3.628.493;0.0622
1537;84;4.45;8.91;575.98;0.0155;623.158;37.117.912;0.0168
3217;113;2.6;5.19;664.65;0.0078;211.815;37.331.912;0.0057
1693;107;1.25;2.5;817.76;0.0031;49.274;60.652.651;0.0008
3343;82;2.27;4.54;448.1;0.0101;161.641;24.140.971;0.0067
1818;99;4.19;8.38;768.73;0.0109;55.197;56.312.561;0.0098
2140;109;9.05;18.1;848.04;0.0213;2.573.337;67.028.761;0.0384
902;74;9.76;19.51;688.72;0.0283;2.990.588;65.137.512;0.0459
1021;109;3.55;7.11;582.82;0.0122;39.691;34.618.729;0.0115
3056;100;2.79;5.58;824.16;0.0068;24.465;6.681.828;0.0037
2846;38;4.55;9.1;247.49;0.0368;650.268;1584.95;0.041
31;31;3.12;6.23;152.46;0.0409;305.281;8.644.804;0.0353
1688;102;3.51;7.02;804.71;0.0087;387.144;6.038.359;0.0064
2561;1;5.89;11.78;11.78;1;1.089.722;1.089.722;1
2108;77;2.15;4.31;499.97;0.0086;145.635;3.263.814;0.0045
3544;126;2.98;5.95;755.83;0.0079;278.305;43.425.599;0.0064
506;66;6.94;13.88;476.54;0.0291;1.512.063;33.781.283;0.0448
2161;130;4.69;9.37;1059.23;0.0089;690.208;85.655.515;0.0081
3906;149;4.56;9.12;1752.88;0.0052;653.117;202.165.436;0.0032
2498;38;8.17;16.35;521.76;0.0313;2.098.869;78.378.883;0.0268
1257;73;1.68;3.35;340.18;0.0099;88.203;18.430.617;0.0048
2976;20;4.41;8.83;140.16;0.063;61.195;9.961.967;0.0614
932;20;0.79;1.58;32.21;0.0489;1.95;469.899;0.0415
2762;102;2.88;5.76;719.75;0.008;260.648;47.054.597;0.0055
2924;116;3.04;6.09;909.71;0.0067;290.869;66.580.075;0.0044
3980;41;3.35;6.69;254.78;0.0263;351.964;14.607.385;0.0241
2563;3;5.94;11.88;30.58;0.3884;110.796;2.573.807;0.4305
1373;53;4.03;8.06;306.61;0.0263;509.951;15.769.274;0.0323
1162;114;2.68;5.35;587.35;0.0091;225.157;33.723.584;0.0067
4127;63;3.13;6.26;482.13;0.013;307.817;33.250.174;0.0093
561;11;1.72;3.45;50.43;0.0683;93.265;1.927.299;0.0484
3787;30;1.95;3.9;185.09;0.021;119.158;11.634.512;0.0102
2113;82;2.65;5.3;532.17;0.01;220.363;3.440.619;0.0064
2103;72;5.7;11.39;456.22;0.025;1.019.652;28.774.456;0.0354
430;100;17.8;35.6;967.89;0.0368;9.951.068;104.015.023;0.0957
1620;34;2.83;5.65;185.88;0.0304;251.132;9.105.952;0.0276
673;13;1.89;3.79;36.95;0.1026;112.785;925.642;0.1218
1268;84;4.72;9.43;407.21;0.0232;698.424;2.194.134;0.0318
2264;90;4.7;9.4;601.76;0.0156;693.975;42.228.998;0.0164
889;61;8.41;16.82;520.08;0.0323;2.221.049;45.195.417;0.0491
2662;2;0.95;1.91;5.99;0.3182;28.571;159.763;0.1788
302;82;1.54;3.08;656.27;0.0047;74.443;52.357.363;0.0014
